pid,total_number,weighted_number
1,1,1.0
2,24,24.0
3,48,39.0
4,3,3.0
5,1,0.25
6,3,2.25
7,1,0.25
8,4,2.5
9,10,4.75
10,5,5.0
11,20,17.75
12,23,27.5
13,1,0.25
14,1,1.0
15,11,7.25
16,2,0.5
17,45,57.75
18,82,77.5
19,0,0.0
20,45,35.25
21,7,6.25
22,76,66.25
23,7,4.75
24,18,17.25
25,10,8.5
26,10,8.5
27,22,16.0
28,23,26.75
29,8,7.25
30,0,0.0
31,3,3.0
32,38,27.5
33,61,47.5
34,33,26.25
35,11,6.5
36,21,12.0
37,45,33.75
38,28,24.25
39,48,33.0
40,13,11.5
41,16,13.75
42,17,15.5
43,10,7.0
44,10,7.75
45,12,12.75
46,21,18.0
47,9,9.75
48,14,14.75
49,16,12.25
50,32,30.5
51,25,34.75
52,33,31.5
